id,size_total,start_day,end_day,calendar_day_count_x,active_days_count,percentage_average,average_daily_minutes,operator,capacity_kw,address,title,country_name,calendar_day_count_y,geometry,road_distance_nan,road_distance_living_street,road_distance_primary,road_distance_residential,road_distance_secondary,road_distance_service,road_distance_tertiary,road_distance_trunk,road_distance_unclassified,road_distance_motorway,road_count_nan,road_count_living_street,road_count_primary,road_count_residential,road_count_secondary,road_count_service,road_count_tertiary,road_count_trunk,road_count_unclassified,road_count_motorway
6363f0c010b3b8dbe7974c0284bd9f4f,2,2025-04-07,2025-08-31,147,137,8.505291005291005,122.47619047619048,Kople As,180.0,Industriveien 4b 8480 ANDENES,PWR UP - Coop Extra Andenes,Norway,147,POINT(16.09881 69.31015),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0.0
408b9578600d477d89725de1bfe312d4,4,2024-09-26,2025-08-31,340,316,8.408190359477125,121.07794117647059,Mer,200.0,Verkstedveien 7 9406 HARSTAD,OBS Harstad,Norway,340,POINT(16.54159 68.79002),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0.0
7c5f671ad294eaf0c5ef3330286a485e,3,2024-09-01,2025-08-31,365,341,8.40455352612887,121.02557077625569,Kople As,300.0,Sjøvegen 62 8410 LØDINGEN,LAD OPP - YX Lødingen,Norway,365,POINT(15.99015 68.42124),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0.0
4c258985bcdae96673e50fd6ee746a0f,1,2024-09-01,2025-08-31,365,321,8.261796042617961,118.96986301369863,Kople As,175.0,Alttaluodda 18 9520 KAUTOKEINO,Ishavsveien - Kautokeino,Norway,365,POINT(23.04088 69.01338),1000.0,1000.0,1000.0,103.51857903656358,103.42326279625792,6.616715289162045,1000.0,23.961438103595096,104.20755925266184,1000.0,0,0,0,37,10,79,0,5,2,0.0
02687dbcea9336e264ada304e761bbdd,10,2025-07-19,2025-08-31,44,36,8.064393939393938,116.12727272727274,Circle K,400.0,Stigerplatåveien 2 8626 MO I RANA,Circle K Mo i Rana,Norway,44,POINT(14.15031 66.30749),,,,,,,,,,,,,,,,,,,,
166276db9f02968c6d62e4f9c46941c4,2,2025-04-07,2025-08-31,147,145,8.057445200302343,116.02721088435374,Kople As,180.0,Flostrandveien 2 8725 UTSKARPEN,LAD OPP - Utskarpen - AC,Norway,147,POINT(13.55049 66.29599),1000.0,1000.0,21.077474435497304,423.09390166139156,1000.0,4.507440822864338,1000.0,1000.0,1000.0,1000.0,0,0,4,2,0,16,0,0,0,0.0
619d1cffae00d0a6026700f4853dc97d,4,2025-04-08,2025-08-31,146,144,8.050561263318116,115.92808219178082,Evbox,250.0,Bjørkåsvegen 2 7970 KOLVEREID,EVBox Bjørkåsvegen 2,Norway,146,POINT(11.6062 64.86486),1000.0,1000.0,158.58355877094158,25.839024689482212,19.54393281675452,58.038636501788766,1000.0,1000.0,25.652294691528322,1000.0,0,0,7,57,10,56,0,0,9,0.0
c9e1bbdfcc2f9b622ae9db6bfea89fcf,2,2024-09-01,2025-08-31,365,315,7.8963089802130915,113.7068493150685,Recharge,300.0,Nordmoveien 17 8530 BJERKVIK,St1 Bjerkvik,Norway,365,POINT(17.55747 68.55121),1000.0,1000.0,1000.0,23.135726885864226,192.14118620644214,13.976712237245074,1000.0,27.874570891421577,239.2402848083414,1000.0,0,0,0,37,5,29,0,18,3,0.0
2e2147715e658d975dcbe4aede1e5b74,6,2024-12-12,2025-08-31,263,241,7.150225320377412,102.96324461343474,Mer,150.0,Flyplassveien  8536 EVENES,"Harstad lufthavn, Evenes",Norway,263,POINT(16.69113 68.49155),1000.0,1000.0,1000.0,1000.0,1000.0,1.6109492428080514,1000.0,16.57148626129614,193.4786339602348,1000.0,0,0,0,0,0,68,0,17,10,0.0
6fb93712030f4280008a7bdf911d5dc6,2,2025-04-07,2025-08-31,147,137,7.0913643235071815,102.1156462585034,Kople As,180.0,Myklebostadveien 2 8283 LEINESFJORD,PWR UP - Coop Leinesfjord,Norway,147,POINT(15.01624 67.7752),1000.0,1000.0,21.349147964938304,132.8245160699469,1000.0,6.088330803795133,1000.0,1000.0,35.14700164106227,1000.0,0,0,6,3,0,41,0,0,9,0.0
